year,category,winner,entity,decades
1927,ACTOR,TRUE,Emil Jannings,1920s
1927,ACTRESS,TRUE,Janet Gaynor,1920s
1927,OUTSTANDING PICTURE,TRUE,Paramount Famous Lasky,1920s
1928,ACTOR,TRUE,Warner Baxter,1920s
1928,ACTRESS,TRUE,Mary Pickford,1920s
1928,OUTSTANDING PICTURE,TRUE,Metro-Goldwyn-Mayer,1920s
1929,ACTOR,TRUE,George Arliss,1920s
1929,ACTRESS,TRUE,Norma Shearer,1920s
1929,OUTSTANDING PRODUCTION,TRUE,All Quiet on the Western Front,1920s
1930,ACTOR,TRUE,Lionel Barrymore,1930s
1930,ACTRESS,TRUE,Marie Dressler,1930s
1930,OUTSTANDING PRODUCTION,TRUE,Cimarron,1930s
1931,ACTOR,TRUE,Wallace Beery and Fredric March,1930s
1931,ACTRESS,TRUE,Helen Hayes,1930s
1931,OUTSTANDING PRODUCTION,TRUE,Grand Hotel,1930s
1932,ACTOR,TRUE,Charles Laughton,1930s
1932,ACTRESS,TRUE,Katharine Hepburn,1930s
1932,OUTSTANDING PRODUCTION,TRUE,Cavalcade,1930s
1934,ACTOR,TRUE,Clark Gable,1930s
1934,ACTRESS,TRUE,Claudette Colbert,1930s
1934,OUTSTANDING PRODUCTION,TRUE,It Happened One Night,1930s
1935,ACTOR,TRUE,Victor McLaglen,1930s
1935,ACTRESS,TRUE,Bette Davis,1930s
1935,OUTSTANDING PRODUCTION,TRUE,Mutiny on the Bounty,1930s
1936,ACTOR,TRUE,Paul Muni,1930s
1936,ACTRESS,TRUE,Luise Rainer,1930s
1936,OUTSTANDING PRODUCTION,TRUE,The Great Ziegfeld,1930s
1937,ACTOR,TRUE,Spencer Tracy,1930s
1937,ACTRESS,TRUE,Luise Rainer,1930s
1937,OUTSTANDING PRODUCTION,TRUE,The Life of Emile Zola,1930s
1938,ACTOR,TRUE,Spencer Tracy,1930s
1938,ACTRESS,TRUE,Bette Davis,1930s
1938,OUTSTANDING PRODUCTION,TRUE,You Can't Take It with You,1930s
1939,ACTOR,TRUE,Robert Donat,1930s
1939,ACTRESS,TRUE,Vivien Leigh,1930s
1939,OUTSTANDING PRODUCTION,TRUE,Gone with the Wind,1930s
1940,ACTOR,TRUE,James Stewart,1940s
1940,ACTRESS,TRUE,Ginger Rogers,1940s
1940,OUTSTANDING PRODUCTION,TRUE,Rebecca,1940s
1941,ACTOR,TRUE,Gary Cooper,1940s
1941,ACTRESS,TRUE,Joan Fontaine,1940s
1941,OUTSTANDING MOTION PICTURE,TRUE,How Green Was My Valley,1940s
1942,ACTOR,TRUE,James Cagney,1940s
1942,ACTRESS,TRUE,Greer Garson,1940s
1942,OUTSTANDING MOTION PICTURE,TRUE,Mrs. Miniver,1940s
1943,ACTOR,TRUE,Paul Lukas,1940s
1943,ACTRESS,TRUE,Jennifer Jones,1940s
1943,OUTSTANDING MOTION PICTURE,TRUE,Casablanca,1940s
1944,ACTOR,TRUE,Bing Crosby,1940s
1944,ACTRESS,TRUE,Ingrid Bergman,1940s
1944,BEST MOTION PICTURE,TRUE,Going My Way,1940s
1945,ACTOR,TRUE,Ray Milland,1940s
1945,ACTRESS,TRUE,Joan Crawford,1940s
1945,BEST MOTION PICTURE,TRUE,The Lost Weekend,1940s
1946,ACTOR,TRUE,Fredric March,1940s
1946,ACTRESS,TRUE,Olivia de Havilland,1940s
1946,BEST MOTION PICTURE,TRUE,The Best Years of Our Lives,1940s
1947,ACTOR,TRUE,Ronald Colman,1940s
1947,ACTRESS,TRUE,Loretta Young,1940s
1947,BEST MOTION PICTURE,TRUE,Gentleman's Agreement,1940s
1948,ACTOR,TRUE,Laurence Olivier,1940s
1948,ACTRESS,TRUE,Jane Wyman,1940s
1948,BEST MOTION PICTURE,TRUE,Hamlet,1940s
1949,ACTOR,TRUE,Broderick Crawford,1940s
1949,ACTRESS,TRUE,Olivia de Havilland,1940s
1949,BEST MOTION PICTURE,TRUE,All the King's Men,1940s
1950,ACTOR,TRUE,José Ferrer,1950s
1950,ACTRESS,TRUE,Judy Holliday,1950s
1950,BEST MOTION PICTURE,TRUE,All about Eve,1950s
1951,ACTOR,TRUE,Humphrey Bogart,1950s
1951,ACTRESS,TRUE,Vivien Leigh,1950s
1951,BEST MOTION PICTURE,TRUE,An American in Paris,1950s
1952,ACTOR,TRUE,Gary Cooper,1950s
1952,ACTRESS,TRUE,Shirley Booth,1950s
1952,BEST MOTION PICTURE,TRUE,The Greatest Show on Earth,1950s
1953,ACTOR,TRUE,William Holden,1950s
1953,ACTRESS,TRUE,Audrey Hepburn,1950s
1953,BEST MOTION PICTURE,TRUE,From Here to Eternity,1950s
1954,ACTOR,TRUE,Marlon Brando,1950s
1954,ACTRESS,TRUE,Grace Kelly,1950s
1954,BEST MOTION PICTURE,TRUE,On the Waterfront,1950s
1955,ACTOR,TRUE,Ernest Borgnine,1950s
1955,ACTRESS,TRUE,Anna Magnani,1950s
1955,BEST MOTION PICTURE,TRUE,Marty,1950s
1956,ACTOR,TRUE,Yul Brynner,1950s
1956,ACTRESS,TRUE,Ingrid Bergman,1950s
1956,BEST MOTION PICTURE,TRUE,Around the World in 80 Days,1950s
1957,ACTOR,TRUE,Alec Guinness,1950s
1957,ACTRESS,TRUE,Joanne Woodward,1950s
1957,BEST MOTION PICTURE,TRUE,The Bridge on the River Kwai,1950s
1958,ACTOR,TRUE,David Niven,1950s
1958,ACTRESS,TRUE,Susan Hayward,1950s
1958,BEST MOTION PICTURE,TRUE,Gigi,1950s
1959,ACTOR,TRUE,Charlton Heston,1950s
1959,ACTRESS,TRUE,Simone Signoret,1950s
1959,BEST MOTION PICTURE,TRUE,Ben-Hur,1950s
1960,ACTOR,TRUE,Burt Lancaster,1960s
1960,ACTRESS,TRUE,Elizabeth Taylor,1960s
1960,BEST MOTION PICTURE,TRUE,The Apartment,1960s
1961,ACTOR,TRUE,Maximilian Schell,1960s
1961,ACTRESS,TRUE,Sophia Loren,1960s
1961,BEST MOTION PICTURE,TRUE,West Side Story,1960s
1962,ACTOR,TRUE,Gregory Peck,1960s
1962,ACTRESS,TRUE,Anne Bancroft,1960s
1962,BEST PICTURE,TRUE,Lawrence of Arabia,1960s
1963,ACTOR,TRUE,Sidney Poitier,1960s
1963,ACTRESS,TRUE,Patricia Neal,1960s
1963,BEST PICTURE,TRUE,Tom Jones,1960s
1964,ACTOR,TRUE,Rex Harrison,1960s
1964,ACTRESS,TRUE,Julie Andrews,1960s
1964,BEST PICTURE,TRUE,My Fair Lady,1960s
1965,ACTOR,TRUE,Lee Marvin,1960s
1965,ACTRESS,TRUE,Julie Christie,1960s
1965,BEST PICTURE,TRUE,The Sound of Music,1960s
1966,ACTOR,TRUE,Paul Scofield,1960s
1966,ACTRESS,TRUE,Elizabeth Taylor,1960s
1966,BEST PICTURE,TRUE,A Man for All Seasons,1960s
1967,ACTOR,TRUE,Rod Steiger,1960s
1967,ACTRESS,TRUE,Katharine Hepburn,1960s
1967,BEST PICTURE,TRUE,In the Heat of the Night,1960s
1968,ACTOR,TRUE,Cliff Robertson,1960s
1968,ACTRESS,TRUE,Katharine Hepburn and Barbra Streisand,1960s
1968,BEST PICTURE,TRUE,Oliver!,1960s
1969,ACTOR,TRUE,John Wayne,1960s
1969,ACTRESS,TRUE,Maggie Smith,1960s
1969,BEST PICTURE,TRUE,Midnight Cowboy,1960s
1970,ACTOR,TRUE,George C. Scott,1970s
1970,ACTRESS,TRUE,Glenda Jackson,1970s
1970,BEST PICTURE,TRUE,Patton,1970s
1971,ACTOR,TRUE,Gene Hackman,1970s
1971,ACTRESS,TRUE,Jane Fonda,1970s
1971,BEST PICTURE,TRUE,The French Connection,1970s
1972,ACTOR,TRUE,Marlon Brando,1970s
1972,ACTRESS,TRUE,Liza Minnelli,1970s
1972,BEST PICTURE,TRUE,The Godfather,1970s
1973,ACTOR,TRUE,Jack Lemmon,1970s
